Name,Img link
Japan,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/120px-Flag_of_Japan.svg.png
Jordan,//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Jordan.svg/120px-Flag_of_Jordan.svg.png
Kazakhstan,//upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/120px-Flag_of_Kazakhstan.svg.png
Kenya,//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Kenya.svg/120px-Flag_of_Kenya.svg.png
Kiribati,//upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kiribati.svg/120px-Flag_of_Kiribati.svg.png
North Korea,//upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_North_Korea.svg/120px-Flag_of_North_Korea.svg.png
South Korea,//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/120px-Flag_of_South_Korea.svg.png
Kuwait,//upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Kuwait.svg/120px-Flag_of_Kuwait.svg.png
Kyrgyzstan,//upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Kyrgyzstan.svg/120px-Flag_of_Kyrgyzstan.svg.png
Laos,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Laos.svg/120px-Flag_of_Laos.svg.png
Latvia,//upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/120px-Flag_of_Latvia.svg.png
Lebanon,//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_Lebanon.svg/120px-Flag_of_Lebanon.svg.png
Lesotho,//upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Flag_of_Lesotho.svg/120px-Flag_of_Lesotho.svg.png
Liberia,//upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_Liberia.svg/120px-Flag_of_Liberia.svg.png
